Name,Number,website,Email 1,Email 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leader Logistics,+48 71 707 08 37,https://www.leaderlogistics.pl/,leader@leaderlogistics.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrum Logistyczne Overis,+48 694 610 419,https://overis.pl/,biuro@overis.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKI Kompleks SA,+48 519 151 801,http://www.kompleks.pl/,poczta@kompleks.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prologis Park Wrocław III,+48 22 218 36 00,https://www.prologiswroclaw3.com/,marketing-eu@prologis.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern Poland,,http://pattern.com/,hello@pattern.com,info@pattern.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3 Wrocław I,,https://p3parks.com/,compliance@p3parks.com,info.office@p3parks.com,info@p3parks.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillwood Oleśnica,+48 690 000 225,https://www.hillwood.pl/,poland@hillwood.com,poland@hillwood.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citylink Wrocław - Magazyny do wynajęcia,+48 22 866 66 66,https://city-link.pl/?utm_source=google&utm_medium=maps,office@city-link.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrum logistyczne Hillwood Rawicz,+48 690 000 225,https://www.hillwood.pl/nieruchomosci/hillwood-rawicz/,poland@hillwood.com,poland@hillwood.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prologis Park Wrocław V,+48 22 218 36 00,https://www.prologiswroclaw5.com/,marketing-eu@prologis.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merkury Market Logistyka,+48 693 461 660,https://www.merkurymarket.pl/centrum-logistyczne/,nowaruda@merkurymarket.pl,straszecin@merkurymarket.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7R City Flex Wrocław Airport I,+48 22 270 13 90,https://www.7rsa.pl/magazyny/7R-City-Flex-Wroclaw-Airport-I,bartosz.kwasniewski@7rsa.pl,biuro@7rsa.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3 Wrocław City,+48 22 828 42 89,https://p3parks.com/,info.office@p3parks.com,info@p3parks.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurogate Logistics Sp. z o.o. - Magazyn Wrocław,,https://eurogate.com/pl/pl/,custums@eurogate.co.uk,gdynia@eurogatelogistics.com,krakow@eurogatelogistics.com,sales.glasgow@eurogate.co.uk,sales.leeds@eurogate.co.uk,sales.london@eurogate.co.uk,sales.ru@eurogatelogistics.com,sales@eurogate.cz,sales@eurogate.hu,sales@eurogate.sk,verkoop@eurogatelogistics.com,warsaw@eurogatelogistics.com,wroclaw@eurogatelogistics.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frisco,,http://www.frisco.pl/,68f11ac86fcc42938bf2a992eaff0205@o321755.ingest.sentry.io,bok@frisco.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillwood Syców,+48 690 000 225,https://www.hillwood.pl/?utm_source=google&utm_medium=gmf_hillwood_sycow,poland@hillwood.com,poland@hillwood.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
